time_start,time_end,model,launch_place,target,carrier,launched,destroyed,source
2023-04-24,2023-04-24 17:30,Unknown UAV,,Kherson oblast,,1,1,kpszsu/posts/pfbid0u2HpBvwerS8kGCA41R3eCysAwDgtQs5kxoV5WQAnvnN3ih7f95V2rQ48Xjs1wgKHl
2023-04-26,2023-04-26 18:00,Lancet,,Kherson oblast,,5,5,kpszsu/posts/pfbid09RCkdnRwWYsbqUJN8TvGcZ3GBsQBJ8uEmmeoi1xkfCDhiD9bby9cTEHLfYkfUeE9l
2023-04-26,2023-04-26 18:00,Merlin-VR,,Kherson oblast,,1,1,kpszsu/posts/pfbid09RCkdnRwWYsbqUJN8TvGcZ3GBsQBJ8uEmmeoi1xkfCDhiD9bby9cTEHLfYkfUeE9l
2023-04-28 04:00,2023-04-28 06:00,Unknown UAV,,Ukraine,,2,2,kpszsu/posts/pfbid0cWdLNjfwysxXhyweXLAJLZHhHoitjzJZMaMGz3SbU8DLN2DBBNPfVSoR2gyf1fnpl
2023-04-28 04:00,2023-04-28 06:00,X-101/X-555,Caspian Sea,Ukraine,Tu-95,23,21,kpszsu/posts/pfbid0cWdLNjfwysxXhyweXLAJLZHhHoitjzJZMaMGz3SbU8DLN2DBBNPfVSoR2gyf1fnpl
2023-04-29 04:00,2023-04-29 04:00,Shahed-136/131,south-east,,,2,2,kpszsu/posts/pfbid0dFmN22S2XUdUuUpL42Gi5zix1LrcaZnii2YGeNh8th2Z25ibxDzAcABtL3Rv5Jgul
2023-04-29 10:00,2023-04-29 10:00,Unknown UAV,south-east,,,1,1,kpszsu/posts/pfbid0dFmN22S2XUdUuUpL42Gi5zix1LrcaZnii2YGeNh8th2Z25ibxDzAcABtL3Rv5Jgul
2023-05-01 02:00,2023-05-01 04:00,X-101/X-555,Olenegorsk and Caspian Sea,Ukraine,2 x Tu-160 and 9 x Tu-95,18,15,kpszsu/posts/pfbid0cWdLNjfwysxXhyweXLAJLZHhHoitjzJZMaMGz3SbU8DLN2DBBNPfVSoR2gyf1fnpl
2023-05-02 22:30,2023-05-03 05:00,Shahed-136/131,Bryansk oblast and eastern coast of the Sea of Azov,Ukraine,,26,21,kpszsu/posts/pfbid036MBz2hLGvL5nu6hny9Yv79tETxLn917nkPGnPdvhU6zmBcnmUwPzJjLhS51Kxveul
2023-05-03,2023-05-03 13:00,Lancet,south,Mykolaiv oblast and Kherson oblast,,2,2,PvKPivden/posts/pfbid0npzVNZhjZ5KJ9wYxEdQqv1MzeDUMidyNFzdHNM9qJsDfJpe1VSvANBhBHHVWDCfol
2023-05-03,2023-05-03 13:00,Merlin-VR,south,Mykolaiv oblast and Kherson oblast,,1,1,PvKPivden/posts/pfbid0npzVNZhjZ5KJ9wYxEdQqv1MzeDUMidyNFzdHNM9qJsDfJpe1VSvANBhBHHVWDCfol
2023-05-03,2023-05-03 13:00,Unknown UAV,south,Mykolaiv oblast and Kherson oblast,,1,1,PvKPivden/posts/pfbid0npzVNZhjZ5KJ9wYxEdQqv1MzeDUMidyNFzdHNM9qJsDfJpe1VSvANBhBHHVWDCfol
2023-05-04,2023-05-04 06:00,Shahed-136/131,Bryansk oblast and eastern coast of the Sea of Azov,north and Odesa oblast,,24,18,kpszsu/posts/pfbid02JYKx2fRME5rM7iZc7r5ichxUVoCVrgGv1c574cjVMbLPZonc79bAVjc36kQLW8Xrl
